insider,len,mo2_sum,mo2_per_trade,mo2_ratio,mo6_sum,mo6_per_trade,mo6_ratio,year1_sum,year1_per_trade,year1_ratio
abrams capital management l p,14,1.5986550377969688,0.11418964555692634,64,2.0324606000167154,0.1451757571440511,64,16.427574523855334,1.173398180275381,64
feinberg joshua h,1,0.22673520177001946,0.22673520177001946,100,0.0,0.0,100,0.0,0.0,100
garcia art a,3,0.4524882629780801,0.15082942099269336,100,0.1646298713755928,0.05487662379186426,100,-0.11469738985440339,-0.03823246328480113,100
lazar melvin f,9,-0.5899992941570412,-0.06555547712856014,55,2.5539103545360495,0.2837678171706722,55,5.256488384154665,0.5840542649060738,55
green william c,9,0.29551243373969716,0.03283471485996635,44,-0.17325636617339024,-0.019250707352598914,44,0.9520978432879482,0.10578864925421647,44
elenio paul,1,0.23924266440192268,0.23924266440192268,100,1.0946644055338388,1.0946644055338388,100,1.800344340447618,1.800344340447618,100
van der reis dennis,1,-0.243529431960162,-0.243529431960162,0,0.3905881993910846,0.3905881993910846,0,0.9894117467543658,0.9894117467543658,0
schwartz elliot,1,0.00928267115073317,0.00928267115073317,100,0.048945139665397944,0.048945139665397944,100,0.2548522706220194,0.2548522706220194,100
tsunis george james,2,-0.02112393634889065,-0.010561968174445324,50,0.09387636925402575,0.04693818462701287,50,0.22504707543240862,0.11252353771620431,50
edwards karen k,1,-0.06290112625387055,-0.06290112625387055,0,-0.019255468049033306,-0.019255468049033306,0,0.057766342935654406,0.057766342935654406,0
kumbier michelle a,2,0.17096624370922567,0.08548312185461283,100,0.23004269784628045,0.11502134892314023,100,0.08036350243619356,0.04018175121809678,100
riojas encians raimundo,1,0.2629240778959326,0.2629240778959326,100,0.7007269879275463,0.7007269879275463,100,0.4365912506467922,0.4365912506467922,100
robertson fred s,2,0.05279138881397941,0.026395694406989707,100,0.45178067696437174,0.22589033848218587,100,0.22913262935281986,0.11456631467640993,100
gabelli mario joseph,34,4.442213495689304,0.13065333810850893,70,1.524193719519005,0.044829227044676616,70,0.7095756676097679,0.02086987257675788,70
lisman bruce m,10,0.387228543064986,0.0387228543064986,60,0.24857848733572854,0.024857848733572854,60,0.9275750481327955,0.09275750481327955,60
"gamco investors, inc. et al",20,-1.2563945538112564,-0.06281972769056282,10,-0.955353138140242,-0.0477676569070121,10,0.0,0.0,10
carrillo rule antonio,2,0.16912672577106663,0.08456336288553332,100,0.644136657122,0.322068328561,100,1.3042492059577249,0.6521246029788624,100
beasley scott c,1,0.10620475674008495,0.10620475674008495,100,0.318233744372886,0.318233744372886,100,0.4769698728952187,0.4769698728952187,100
baker bros advisors lp,44,4.425087957028752,0.10057018084156254,54,1.5748593157447262,0.0357922571760165,54,11.930715121304768,0.2711526163932902,54
soland daniel b,2,-0.10172448451056729,-0.05086224225528364,50,-0.7620550396483299,-0.38102751982416494,50,0.21481260105835662,0.10740630052917831,50
eidson david h,1,-0.11396117647552177,-0.11396117647552177,0,0.08024912250783138,0.08024912250783138,0,0.0,0.0,0
holder thomas m,1,0.2664715008692911,0.2664715008692911,100,0.17276725012545774,0.17276725012545774,100,0.5783309181961527,0.5783309181961527,100
oglesby richard a jr,5,1.668398857571995,0.333679771514399,100,5.570396547540528,1.1140793095081056,100,4.85422506723817,0.9708450134476341,100
cooper shantella e,1,-0.09648400618710856,-0.09648400618710856,0,0.26819303429391134,0.26819303429391134,0,1.1618970992392128,1.1618970992392128,0
deriso walter m jr,1,-0.030769201927009028,-0.030769201927009028,0,0.34188034745371804,0.34188034745371804,0,1.3435897883160874,1.3435897883160874,0
thomas lizanne,3,0.39151210442488193,0.13050403480829398,66,0.34188034745371804,0.11396011581790601,66,1.3435897883160874,0.44786326277202915,66
hertz douglas j,1,-0.030769201927009028,-0.030769201927009028,0,0.34188034745371804,0.34188034745371804,0,1.3435897883160874,1.3435897883160874,0
